veracity,Claim_by,Claim
FALSE,Claim via Social Media, Antarctic Ice Is At A New Record Maximum in 2021.
FALSE,(International, Md. Fayez Ahmad attacked Hindu girl in West Bengal in ‘love jihad’ case.
FALSE,Claim by Social media posts, Kenosha “Police were told to stand down as businesses were destroyed.”
TRUE,Claim via Social Media, Ghislaine Maxwell was at Chelsea Clinton’s Wedding.
BLATANT LIE,Claim by viral image, Image shows Donald Trump’s new Christmas card.
BLATANT LIE,Claim by Donald Trump (R), Media Approval Ratings Fell Below Congress’ As Trump Ran For President
FALSE,Claim by Gateway Pundit," Because of omicron, “the Biden administration has decided to leave the U.S. southern border completely open.”"
FALSE,(International, Photos of Boris Johnson receiving his Covid-19 booster vaccine do not show him being vaccinated.
FALSE,Claim by Joe Biden (D), “The number of small businesses is up 30% compared to before the pandemic.”
BLATANT LIE,Claim via Social media, Human-generated CO2 is an insignificant contributor to climate change.
BLATANT LIE,Claim by vaccineimpact.com, Bill Gates Charged with Murder for COVID-19 Vaccine Death in India’s High Court – Death Penalty Sought.
BLATANT LIE,Claim via  bitchute.com video, Dr. Andreas Noack has documented killer graphene particles in COVID-19 vaccine.
FALSE,Claim via Social media," Rittenhouse went to Mar-a-Lago for a ‘two-week, all-expenses-paid vacation’."
FALSE,(International, Claims to show Australian police beating a person in a wheelchair during a protest against COVID-19 restrictions
FALSE,Claim via Social Media, An old tweet from Joe Biden shows he’s a “hypocrite” for criticizing former President Donald Trump for issuing the “same [pandemic-related] travel ban.”
BLATANT LIE,Claim by viral image, shows a poster for a decades-old movie titled “The Omicron Variant.”
FALSE,Claim via Social Media, COVID-19 vaccines are gene therapy and a recent Forbes article proves that.
BLATANT LIE,Claim by Viral Image," the image shows a Vox headline that reads, “How teaching children the Bunny Ear method for tying their shoes is actually an act of racist oppression.”"
FALSE,Claim by Sean Hannity," “If you look pre-COVID” under President Donald Trump, “we didn’t import a single barrel of oil from Saudi Arabia.”"
FALSE,(International, Picture shows Anna Hazare as an RSS member with a young Narendra Modi.
FALSE,Claim by Joe Biden (D), “I used to drive a tractor trailer … I only did it for part of a summer.”
BLATANT LIE,Claim via Social Media, World Economic Forum scheduled the release of COVID-19 Omicron variant.
FALSE,Claim by Social media posts, “The strategic oil reserve is for when we get attacked and need the fuel to keep our Air Force in the air.”
FALSE,Claim via Social Media, Laws of thermodynamics say CO2 can’t contribute to climate change
FALSE,Claim via Social Media, The risk of transmitting Covid-19 from an unmasked person to an unmasked person is 90%. From an unmasked person to a masked person it is 30%. From a masked person to an unmasked person it is 5%. From a masked person to a masked person it is 1.5%.
FALSE,(International, The Merriam-Webster dictionary updated its definition for the word “vaccine” to state that the drug includes the toxin graphene oxide
FALSE,Claim by Kevin McCarthy (R), The House-passed Build Back Better bill is a “government takeover of child care.”
BLATANT LIE,Claim by Viral Image, the image shows President Joe Biden and deceased convicted sex offender Jeffrey Epstein smiling for a picture together.
FALSE,Claim by Rand Paul (R)," “When you talk about the peer-reviewed studies of masks, there was one done in Denmark, showed that it didn’t work. When you look at all of Sweden — 1.8 million children have not been wearing masks for the last two years, they’ve had zero covid deaths.”"
FALSE,Claim by Joe Biden (D), “The number of small businesses is up 30% compared to before the pandemic.”
TRUE,"Claim by George Papadopoulos, PatriotFetch, others", Florida currently has the lowest COVID cases per capita.
FALSE,(International, There have been 1113 cases of myocarditis in the Australian navy in 2021.
FALSE,Claim via Social Media," Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices."
BLATANT LIE,Claim by The Expose, Official government reports suggest the fully vaccinated will develop AIDS by the end of the year.
BLATANT LIE,Claim via Social Media, “Kyle [Rittenhouse] put out a dumpster fire that was being rolled down to a gas station to blow up.”
FALSE,Claim by Nutritionist Mike Mutzel," “Pathogens evolve to become less, not more, virulent over time”"
FALSE,Claim via viral image, “Only Reuters” reported that the doctor who detected the omicron variant said its symptoms are “very mild.”
FALSE,(International, COVID-19 vaccination mandates are at odds with the 1986 Human Rights Commission Act
MOSTLY TRUE,Claim by Tammy Baldwin (D)," “Within two years, there were two 500-year (storm) events” in Wisconsin."
BLATANT LIE,Claim by Principia Scientific International, Dr Anthony Fauci has said that Covid-19 vaccines don’t protect against Covid or death.
BLATANT LIE,Claim by Viral Video," the video shows First Lady Jill Biden being interrupted at a book reading by a child shouting, “Shut the f**k up.”"
BLATANT LIE,Claim by Mic Drop Politics," “COVID death rates 4 to 1, vaccinated to unvaxxed”"
BLATANT LIE,Claim by dailyworldupdate.us, Kyle Rittenhouse Filed A $400 Million Lawsuit Against CNN.
FALSE,(International," “It was a delegation of spies, not international observers. They moved freely throughout the country, spying on social, economic and political life.”"
FALSE,Claim via Social Media, FBI’s counterterrorism division adds threat tags to parents who protest school boards.
BLATANT LIE,Claim by Viral Image, “Celine Dion has been paralyzed by the COVID vaccine and cancels her tour.”
FALSE,Claim via Rumble Video, Aboriginal Population In Australia’s Northern Territory Is Being Forcibly Vaccinated Against COVID-19.
BLATANT LIE,Claim via Social Media, Nancy Pelosi just went into contract to buy a Florida oceanfront mansion for $25 million.
BLATANT LIE,Claim by PragerU, “Greenland’s ice sheet isn’t shrinking any more rapidly today than it was 80 years ago.”
FALSE,(International, A photo of a gigantic crowd implies it is from recent COVID-19 lockdown protests in Vienna.
FALSE,Claim via Social Media, A Texas Health and Human Services policy denies white people monoclonal antibody treatment.
BLATANT LIE,Claim by potatriotsunite.com, Kyle Rittenhouse filed a $60 million defamation suit against Joy Behar and Whoopi Goldberg.
FALSE,Claim by The Real Deal of Parenting, Jen Psaki said Taco Bell value menu is affordable alternative to Thanksgiving dinner.
BLATANT LIE,Claim by Viral Image, Joe Biden is not president because seal is blurred.
BLATANT LIE,Claim via Social Media, Humanity Is Being Held Hostage By The New World Order Using The COVID Vaccines.
FALSE,(International, India is the first country to reach 1 billion vaccine doses
FALSE,Claim by Jerry Nadler (D), Kyle Rittenhouse was an “armed person” crossing state lines when he came to Kenosha protests in 2020.
BLATANT LIE,Claim via Social Media," A chef must know all ingredients of a cupcake, but a doctor doesn’t need to know the ingredients of the vaccines."
MOSTLY FALSE,Claim via Viral Image, The Build Back Better bill provides “’parole’ amnesty for millions of criminal illegal aliens.”
BLATANT LIE,Claim by Toby Rogers (Children’s Health Defense), “more children will die from the vaccine than will die from COVID in the first place and there’s proof”
FALSE,Claim via Social Media, Dominion Voting Systems lost its lawsuits against Rudy Giuliani and Sidney Powell on Nov. 19
FALSE,(International, Head Of German Hospital Who Committed Suicide said ‘COVID-19 Vaccine Is A Genocide’
MOSTLY FALSE,Claim by Chris Jacobs (R)," “This one here has subsidies for people making as much as $800,000 to be able to buy a Tesla.”"
BLATANT LIE,Claim by Ethan A. Huff (Natural News)," COVID-19 vaccine spike proteins accumulate in the nucleus of cells, “destroy DNA repair pathways, paving the way for CANCER” and “destroy the immune system”"
BLATANT LIE,"Claim by Charlie Kirk, American Greatness, Big League Politics", There is ‘new’ January 6 footage proving police beat Rosanne Boyland to death.
BLATANT LIE,Claim via Social Media, An economics professor at a local college recently failed an entire class.
FALSE,Claim via Social Media, “The gas station where they initially attacked” Kyle Rittenhouse “is owned by his grandparents.”
FALSE,(International, Unvaccinated people pose no greater COVID-19 risk than those who are vaccinated.
MOSTLY TRUE,Claim by Colin Allred (D), “You’ve had over 2 million women drop out of the workforce during this pandemic.”
FALSE,Claim by Social media posts, Placing essential oils in your navel can help with a variety of health problems.
BLATANT LIE,Claim via Social Media, Biden Failed To Acknowledge Waukesha Christmas Parade Killings
MOSTLY FALSE,Claim by Rick Scott (R), An increase in Medicare Part B premiums means “America’s seniors are paying the price for Biden’s inflation crisis.”
BLATANT LIE,Claim by brighteon.com, Video Shows Priest Dying Suddenly After Receiving COVID-19 Vaccination
FALSE,(International, claims to show Australian police beating a person in a wheelchair during a protest against COVID-19 restrictions.
FALSE,Claim by tennessean.com, Critical Race Theory Law Makes It Illegal To Teach Black History In Tennessee
FALSE,Claim by Toby Rogers/Children Health Defense," “The Biden administration plan would kill 5,248 children via Pfizer mRNA shots in order to save 45 children from dying of coronavirus.”"
BLATANT LIE,Claim via Social Media, A diesel generator is powering an electric vehicle charger
BLATANT LIE,Claim via Social Media," A photo shows Ghislaine Maxwell, who is charged with assisting accused sex trafficker Jeffrey Epstein, with Supreme Court Chief Justice John Roberts."
BLATANT LIE,Claim by bitchute.com, A paper in “Circulation” proves the COVID-19 vaccine is murder.
FALSE,(International," “While the global economy contracted by an average of 3.6% last year, we still managed to grow our economy by 0.3% over the same period”."
FALSE,Claim via Social Media, “Vitamin D levels of 50 ng/mL correlates to zero mortality rate from COVID.”
FALSE,Claim by thegatewaypundit.com," European Medicines Agency Data Shows 1,163,356 Adverse Drug Reactions by COVID-19 Vaccinations"
BLATANT LIE,Claim via Social Media, “Borax bath detox” will “get rid of” the effects of the vaccine.
